	C3L.00104	C3L.00365	C3L.00674	C3L.00677	C3L.01040	C3L.01043	C3L.01045	C3L.01046	C3L.01048	C3L.01049	C3L.01061	C3L.01142	C3L.01146	C3L.01149	C3L.01154	C3L.01155	C3L.01156	C3L.01157	C3L.01327	C3L.01887	C3L.02465	C3L.02504	C3L.02542	C3L.02642	C3L.02704	C3L.02705	C3L.02707	C3L.02955	C3L.02970	C3L.03260	C3L.03266	C3L.03387	C3L.03390	C3L.03392	C3L.03400	C3L.03405	C3L.03407	C3L.03681	C3L.03727	C3L.03728	C3L.03744	C3L.03748	C3L.03968	C3L.04084	C3N.00661	C3N.00662	C3N.00665	C3N.01192	C3N.01196	C3N.01334	C3N.01364	C3N.01366	C3N.01367	C3N.01368	C3N.01369	C3N.01505	C3N.01515	C3N.01517	C3N.01518	C3N.01798	C3N.01814	C3N.01815	C3N.01816	C3N.01818	C3N.01851	C3N.01852	C3N.01856	C3N.01857	C3N.02181	C3N.02183	C3N.02185	C3N.02186	C3N.02188	C3N.02190	C3N.02255	C3N.02256	C3N.02769	C3N.02770	C3N.02782	C3N.02783	C3N.02784	C3N.02785	C3N.02786	C3N.02788	C3N.03088	C3N.03180	C3N.03182	C3N.03183	C3N.03184	C3N.03186	C3N.03188	C3N.03473
Q8TEQ8	0.840909091	1.573584906	-0.094262295	0.813819578	0.388663968	-0.353413655	-0.275316456	0.319148936	1.448051948	-1.653333333	-0.149341142	-0.937888199	-0.703252033	-0.972440945	-0.686153846	0.131914894	1.831683168	-0.945031712	0.745283019	-0.930232558	0.879828326	1.323383085	-0.411564626	0.407258065	-0.256198347	0.75308642	1.113861386	-0.306273063	-0.717842324	-0.344444444	0.020512821	-0.207407407	0.664705882	-0.242424242	0.737410072	0.566964286	0.884955752	1.951724138	-1.081730769	-1.627802691	2.386266094	-0.074766355	-0.967654987	-1.18	0.5913371	1.220833333	2.410377358	-1.63902439	0.356060606	-0.538961039	1.240223464	-1.656597774	0.52016129	-0.712062257	-0.650735294	0.817518248	-0.277777778	-0.642335766	0.665158371	-1.43902439	0.23857868	1.672985782	1.179104478	-0.485849057	1.663461538	3.273224044	0.205128205	-0.730375427	2.235294118	-0.617857143	0.663157895	1.12962963	1.279279279	0.976851852	-1.565079365	0.335106383	2.265560166	1.438095238	-1.101167315	0.285140562	-0.534883721	-0.095709571	-1.044502618	-0.40397351	0.729577465	-0.79264214	0.277511962	-0.668604651	0.35243553	0.561904762	0.388646288	0.646112601
Q9BRB3	-0.759090909	-0.090566038	-0.327868852	-0.399232246	-1.230769231	-0.301204819	0.509493671	0.835866261	0.003246753	-0.106666667	-1.004392387	-0.801242236	-0.577235772	-0.535433071	-0.695384615	-0.536170213	0.257425743	0.386892178	-0.910377358	-1.023255814	-0.30472103	0.542288557	-0.268707483	-0.100806452	1.52892562	0.164609053	0.5	-0.317343173	-1.232365145	0.416666667	-0.21025641	-0.474074074	0.358823529	-1.003367003	0.111510791	-0.325892857	-0.376106195	0.968965517	0.086538462	0.457399103	1.836909871	-0.074766355	-0.897574124	-0.944	-0.064030132	-1.470833333	-0.061320755	1.131707317	0.494949495	-0.87012987	0.522346369	-0.699523052	0.028225806	1	1.308823529	-0.401459854	-0.205128205	0.682481752	1.013574661	0.609756098	-2.137055838	-0.639810427	1.128358209	0.306603774	0.274038462	0.732240437	-0.192307692	0.546075085	-2.188235294	-1.103571429	-1.1	-0.24691358	1.364864865	0.986111111	0.107936508	-1.154255319	0.858921162	1.152380952	1.420233463	-1.373493976	1.395348837	0.475247525	-0.19895288	-0.652317881	-0.14084507	-1.120401338	0.279904306	-0.872093023	0.017191977	-0.123809524	-0.262008734	-0.525469169
P01833	2.522727273	7.177358491	2.725409836	2.476007678	-1.615384615	4.34939759	0.167721519	-0.401215805	NA	-0.552380952	-0.910688141	-1.077639752	-1.268292683	NA	-1.218461538	1.110638298	-4.193069307	0.55179704	-0.004716981	-1.550387597	-0.072961373	-2.537313433	-1.047619048	-0.584677419	-0.966942149	2.691358025	-1.01980198	1.977859779	-0.402489627	NA	-0.046153846	NA	-1.847058824	0.767676768	2.776978417	4.25	NA	0.024137931	-0.6875	1.02690583	0.137339056	-0.602803738	1.401617251	-0.096	1.585687382	2.95	0.353773585	NA	0.646464646	2.876623377	-0.441340782	0.565977742	NA	-1.39688716	3.536764706	1.784671533	8.602564103	-0.317518248	1.832579186	0.824390244	-1	1.563981043	-0.976119403	-1.306603774	5.375	-0.655737705	2.907051282	-1.433447099	4.184313725	-0.260714286	2.494736842	NA	-0.882882883	0.027777778	-0.834920635	-1.063829787	0.53526971	2.576190476	NA	2.18875502	-0.80620155	-0.01650165	-0.447643979	0.51986755	0.188732394	3.307692308	-1.562200957	5.552325581	-0.309455587	0.566666667	-2.144104803	-0.707774799
Q96S52	-0.445454545	0.788679245	-2.680327869	0.214971209	1.983805668	-1.791164659	0.107594937	1.006079027	1.253246753	1.283809524	-0.222547584	2.378881988	0.792682927	-0.812992126	0.738461538	1.378723404	0.831683168	0.099365751	1.141509434	-0.286821705	-0.43776824	-1.189054726	0.068027211	-0.97983871	-0.876033058	-0.29218107	1.346534653	-0.79704797	-0.663900415	-0.333333333	-2.384615385	-0.044444444	0.405882353	1.259259259	1.910071942	-1.071428571	0.181415929	-0.510344828	-1.600961538	-1.68161435	0.587982833	0.612149533	-1.692722372	0.172	1.826741996	0.170833333	1.580188679	-1.175609756	0.022727273	1.149350649	0	1.001589825	1.536290323	0.661478599	-0.827205882	0.222627737	0.282051282	1.394160584	-0.149321267	0.292682927	-1.228426396	0.312796209	-0.164179104	-0.179245283	-0.524038462	0.781420765	0.836538462	0.754266212	-0.556862745	0.582142857	0.515789474	0	-0.175675676	0.203703704	-1.19047619	0.186170213	0.360995851	0.604761905	1.824902724	-2.196787149	-0.875968992	-1.821782178	0.068062827	-1.221854305	-0.236619718	-0.695652174	1.272727273	-0.069767442	1.601719198	-0.176190476	-0.851528384	1.691689008
Q969N2	0.163636364	0.679245283	-2.069672131	0.234165067	1.4048583	-1.851405622	2.003164557	1.462006079	0.883116883	1.71047619	-0.266471449	2.52484472	1.512195122	-0.559055118	0.6	0.965957447	0.836633663	-0.171247357	0.070754717	-0.298449612	-1.021459227	-0.970149254	0.173469388	-0.495967742	-0.483471074	1.0781893	1.014851485	-0.6900369	-0.929460581	0.211111111	-0.748717949	0.125925926	-0.267647059	0.03030303	1.90647482	-0.482142857	0.778761062	-0.2	-1.894230769	-1.466367713	-0.21888412	0.490654206	-0.455525606	1.32	1.762711864	0.9375	1.179245283	0.03902439	0.891414141	0.415584416	0.5	1.004769475	1.64516129	0.20233463	-1.150735294	-0.288321168	1.038461538	1.759124088	-0.298642534	0.048780488	-0.862944162	0.431279621	0.51641791	-0.75	-0.899038462	0.486338798	1.583333333	0.737201365	-1.047058824	0.578571429	0.110526316	0.481481481	-0.436936937	-0.175925926	-0.673015873	-0.303191489	3.145228216	0.342857143	1.891050584	-2.40562249	-0.872093023	-0.775577558	0.780104712	-0.960264901	-0.098591549	0.060200669	1.526315789	0.031976744	1.467048711	-0.757142857	-0.659388646	1.882037534
Q9H490	-0.277272727	2.056603774	-1.114754098	1.451055662	1.101214575	-1.666666667	1.892405063	-1.079027356	0.366883117	1.192380952	0.061493411	0.723602484	0.052845528	-0.059055118	0.889230769	0.817021277	-1.965346535	-0.061310782	1.754716981	1.275193798	-0.690987124	-0.333333333	-0.333333333	0.189516129	-1.049586777	-2.222222222	0.193069307	2.225092251	0.082987552	0.905555556	-0.056410256	-0.133333333	0.758823529	0.178451178	0.428057554	0.647321429	-0.455752212	0.693103448	NA	-1.538116592	-0.746781116	0.26635514	-1.382749326	1.156	1.039548023	0.3625	NA	-0.346341463	2.01010101	NA	-0.488826816	1.265500795	2.068548387	NA	-1.610294118	1.857664234	-0.076923077	1.368613139	0.859728507	-0.76097561	-1.131979695	1.909952607	0.155223881	-0.471698113	0.134615385	NA	0.637820513	1.80887372	2.533333333	0.578571429	0.857894737	-0.327160494	0.108108108	-0.472222222	-1.304761905	-0.372340426	0.875518672	1.414285714	2.587548638	-3.859437751	-0.182170543	-2.082508251	-0.696335079	-0.966887417	0.14084507	NA	0.543062201	-1.075581395	NA	0.90952381	-1.327510917	2.158176944
Q8TBF5	0.136363636	2.909433962	1.807377049	0.318618042	-0.307692308	-1.357429719	0	-0.191489362	0.438311688	-0.339047619	-0.500732064	-1.198757764	-1.260162602	0.163385827	-0.950769231	1.629787234	1.247524752	0.55179704	1.136792453	0.496124031	0.922746781	-1.28358209	-0.18707483	-0.858870968	0.851239669	1.032921811	-1.183168317	0.564575646	1.473029046	-1.388888889	0.415384615	-0.522222222	0.832352941	-1.612794613	-0.276978417	-0.714285714	-2.433628319	-0.093103448	-1.269230769	-2.744394619	-0.317596567	1.943925234	-0.083557951	1.088	0.425612053	0.870833333	-0.037735849	0.526829268	0.348484848	-1.714285714	-1.039106145	-1.567567568	1.471774194	0.346303502	0.775735294	0.795620438	-0.897435897	-0.120437956	-0.34841629	-1.517073171	-0.263959391	-0.483412322	0.214925373	-0.910377358	0.211538462	1.546448087	0.657051282	0.894197952	0.48627451	-0.953571429	-0.331578947	0.061728395	0.454954955	-0.087962963	0.063492063	0.265957447	1.423236515	-1.161904762	0.73540856	-0.694779116	0.089147287	1.508250825	-0.97382199	-0.745033113	-1.569014085	0.240802676	-0.423444976	1.453488372	1.05730659	-0.371428571	-0.868995633	1.836461126
Q9NWS0	0.022727273	1.252830189	0.442622951	0.380038388	-0.744939271	1.136546185	1.71835443	0.127659574	-0.181818182	0.940952381	0.825768668	0.177018634	0.829268293	0.322834646	0.095384615	0.310638298	-0.371287129	-1.363636364	-0.226415094	-0.298449612	1.626609442	0.910447761	1.085034014	-1.318548387	-0.900826446	-0.082304527	-2.00990099	-0.505535055	-0.323651452	-2.161111111	-2.169230769	-0.896296296	1.070588235	-0.424242424	1.838129496	-0.316964286	-0.190265487	0.113793103	0.216346154	0.65470852	0.313304721	0.299065421	0.053908356	0.408	0.595103578	0.554166667	1.537735849	-0.390243902	1.434343434	1	-0.164804469	0.871224165	1.411290323	-1.747081712	0.459558824	1.368613139	1.034188034	0.605839416	0.140271493	-0.556097561	-0.147208122	0.369668246	0.295522388	-0.273584906	-0.153846154	0.240437158	-0.108974359	-0.812286689	0.4	-0.171428571	0.173684211	0.685185185	-0.540540541	0.939814815	-0.574603175	-0.89893617	2.651452282	-0.647619048	0.852140078	-0.522088353	0.697674419	-0.650165017	0.32460733	-1.225165563	-0.783098592	-0.314381271	1.107655502	0.843023256	0.739255014	-0.923809524	-0.64628821	-0.490616622
Q6ZUJ8	-2.009090909	-1.052830189	2.823770492	-1.934740883	-2.48582996	1.674698795	0.452531646	4.112462006	-0.12012987	0.921904762	-2.699853587	2.211180124	3.62601626	-1.035433071	-0.824615385	-1.642553191	-2.336633663	-0.33192389	-0.212264151	-2.635658915	2.703862661	-1.462686567	-0.659863946	-1.47983871	-0.004132231	2.502057613	-2.633663366	3.446494465	-1.543568465	-2.855555556	-0.841025641	-1.203703704	-2.832352941	2.747474747	3.600719424	-0.133928571	4.699115044	-0.634482759	0.254807692	1.121076233	1.789699571	0.780373832	3.261455526	-3.276	0.847457627	-1.425	3.29245283	1.287804878	0.419191919	3.12987013	1.907821229	-0.362480127	4.02016129	-2.46692607	4.830882353	2.510948905	3.457264957	-0.890510949	3.624434389	2.204878049	-1.736040609	3.473933649	-0.743283582	-1.825471698	2.903846154	-3.322404372	1.762820513	-2.706484642	2.949019608	6.110714286	-1.073684211	-0.456790123	0.675675676	4.967592593	-0.8	-0.664893617	0.788381743	-1.823809524	-2.050583658	0.148594378	1.007751938	0.135313531	3.018324607	-0.427152318	1.397183099	4.418060201	1.179425837	1.337209302	-2.160458453	1.242857143	-1.449781659	-1.825737265
O00443	-1.159090909	1.143396226	-1.504098361	0.088291747	0.453441296	0.698795181	-0.496835443	1.410334347	1.237012987	-1.782857143	0.919472914	-0.242236025	0.386178862	-1.218503937	0.507692308	-1.570212766	0.267326733	-1.262156448	0.452830189	-1	-0.128755365	0.726368159	-0.425170068	2.822580645	0.900826446	0.905349794	1.579207921	-1.457564576	0.099585062	0.483333333	0.533333333	-0.440740741	1.038235294	1.966329966	-1.841726619	0.410714286	0.32300885	2.224137931	-0.408653846	-0.874439462	1.60944206	1.182242991	-1.369272237	-0.096	0.998116761	-1.279166667	2.599056604	-0.843902439	0.876262626	1.506493506	-1.703910615	-0.197138315	0.487903226	0.844357977	-1.216911765	-0.846715328	-0.136752137	1.405109489	-0.50678733	-0.87804878	0.177664975	1.298578199	-0.462686567	1.476415094	0.432692308	0.972677596	0.426282051	0.395904437	-0.082352941	-0.514285714	1.3	-1.111111111	3.099099099	1.625	-0.622222222	1.845744681	-1.244813278	-0.619047619	1.077821012	0.020080321	-0.585271318	-0.706270627	0.523560209	1.11589404	-1.011267606	-1.571906355	-1.208133971	0.081395349	0.29226361	-0.238095238	0.554585153	-0.404825737
O00750	0.977272727	-1.328301887	1.696721311	-0.441458733	3.44534413	0.301204819	0.566455696	-1.559270517	-0.766233766	-1.474285714	1.704245974	-1.102484472	-0.882113821	1.968503937	1.015384615	0.263829787	-0.351485149	-0.289640592	-0.240566038	1.201550388	-0.746781116	1.273631841	-1.265306122	-1.221774194	-0.256198347	1.625514403	1.777227723	2.029520295	-0.954356846	1.788888889	6.692307692	-0.114814815	-0.120588235	-0.885521886	-1.474820144	0.366071429	-1.597345133	-0.068965517	5.759615385	-1.165919283	3.716738197	-1.38317757	0.727762803	-0.336	1.555555556	7.15	-1.45754717	-0.253658537	-0.444444444	-1.974025974	0.374301676	-1.208267091	0.149193548	0.844357977	1.025735294	-1.434306569	-0.282051282	2.244525547	-1.461538462	-0.175609756	1.050761421	0.706161137	-1.43880597	-0.811320755	-0.841346154	-0.50273224	-0.173076923	1.716723549	-2.215686275	1.171428571	-0.710526316	0.962962963	0.869369369	-0.893518519	-1.133333333	1.632978723	-0.215767635	-0.147619048	-0.326848249	0.088353414	-2.465116279	4.95709571	-1.363874346	-0.380794702	1.830985915	2.127090301	-1.397129187	-1.593023256	0.742120344	0.680952381	1.786026201	-0.042895442
Q8NEB9	0.418181818	-0.105660377	0.18442623	0.307101727	-0.214574899	-0.004016064	-0.212025316	0.802431611	-0.00974026	-0.914285714	-0.213762811	-0.142857143	-0.658536585	-0.700787402	-0.270769231	0.170212766	-0.277227723	-0.260042283	0.268867925	0.158914729	0.381974249	-0.52238806	-0.003401361	0.508064516	-0.396694215	0.720164609	0.148514851	0.217712177	-0.589211618	0.011111111	-0.512820513	0.988888889	0.094117647	0.235690236	-0.755395683	-0.044642857	-0.004424779	-1.189655172	-0.951923077	0.304932735	-0.055793991	0.191588785	-0.202156334	-0.312	0.493408663	-0.85	-0.094339623	-0.073170732	-0.373737374	0.175324675	-0.734636872	0.476947536	0.108870968	0.626459144	0.5	-0.408759124	0.179487179	-0.233576642	-0.235294118	-0.473170732	-0.025380711	0.398104265	-0.002985075	0.023584906	0.850961538	-0.12568306	0.073717949	0.375426621	0.17254902	-0.103571429	-0.589473684	0.191358025	-0.247747748	0.138888889	-0.279365079	-0.276595745	-0.821576763	-0.19047619	-0.747081712	0.441767068	-0.891472868	-0.066006601	-0.945026178	0.443708609	1.166197183	0.277591973	-0.112440191	-0.302325581	-0.421203438	-0.10952381	0.781659389	-0.134048257
P42336	0.613636364	-0.796226415	-2.426229508	-1.416506718	0.574898785	-1.068273092	-0.183544304	0.565349544	0.305194805	-1.573333333	-0.014641288	0.378881988	-0.764227642	-0.557086614	-0.24	-0.012765957	0.034653465	1.744186047	1.778301887	0.135658915	-0.74248927	-0.721393035	-1.034013605	1.137096774	0.161157025	-0.53909465	-0.237623762	0.21402214	1.614107884	0.255555556	-0.897435897	0.174074074	-1.479411765	0.016835017	-1.31294964	-0.848214286	-0.221238938	0.710344828	-0.586538462	1.273542601	-0.965665236	0.401869159	-0.97574124	-0.492	1.348399247	1.0125	-0.952830189	1.097560976	0.467171717	0.837662338	1.134078212	-0.677265501	-1.842741935	0.06614786	-0.897058824	-0.390510949	0.905982906	-0.624087591	-1.140271493	-0.165853659	-0.23857868	-0.55450237	0.426865672	-0.245283019	0.514423077	-1.25136612	-0.028846154	-0.634812287	0.635294118	0.160714286	0.405263158	0.969135802	-1.716216216	-1.046296296	0.276190476	-1.718085106	-0.834024896	-0.380952381	-0.015564202	1.257028112	-0.751937984	-0.858085809	-0.638743455	2.725165563	0.763380282	-0.267558528	-1.421052632	-0.665697674	-0.103151862	3.90952381	0.650655022	0.498659517
P42338	-2.459090909	0.720754717	-2.319672131	-1.554702495	-1.578947368	-1.24497992	0.367088608	-0.434650456	-1.211038961	-1.512380952	0.319180088	-0.273291925	-0.31300813	-0.102362205	-0.310769231	0.719148936	-0.366336634	0.890063425	-0.589622642	0.488372093	1.56223176	-0.069651741	-0.795918367	-0.717741935	1.520661157	0.880658436	-1.351485149	1.062730627	0.991701245	0.483333333	0.805128205	0.437037037	0.011764706	-0.023569024	-1.143884892	-1.09375	0.530973451	0.582758621	-0.355769231	0.31838565	-1.403433476	-0.537383178	-0.258760108	-0.256	-1.032015066	-0.425	-0.599056604	0.668292683	-0.457070707	-0.168831169	-0.851955307	1.297297297	0.282258065	1.770428016	-0.084558824	-0.52189781	0.97008547	-0.171532847	-2.760180995	0.4	1.050761421	0.312796209	0.373134328	0.386792453	-0.846153846	-1.278688525	-0.794871795	-0.709897611	1.384313725	-0.017857143	0.368421053	1.339506173	0.612612613	1.152777778	-0.174603175	-2	0.008298755	0.557142857	-0.404669261	0.152610442	-0.255813953	-0.02970297	-0.931937173	0.175496689	1.453521127	1.200668896	-1.736842105	-0.683139535	-0.065902579	1.152380952	0.489082969	-0.08310992
O00329	-1.386363636	-2.377358491	0.274590164	-1.500959693	-2.157894737	0.859437751	-0.411392405	2.559270517	-0.435064935	0.933333333	-1.680819912	3.201863354	0.443089431	0.216535433	-2.113846154	-0.744680851	-1.801980198	-0.10359408	-0.669811321	-1.182170543	2.854077253	-1.7960199	-0.775510204	-1.189516129	-0.975206612	0.9218107	-1.712871287	1.94095941	-1.041493776	-2.227777778	-2.01025641	-0.392592593	-1.485294118	0.346801347	1.658273381	-1.446428571	3.119469027	-0.524137931	-0.485576923	1.139013453	1.042918455	0.023364486	1.285714286	-2.372	-0.086629002	-1.654166667	-0.009433962	0.297560976	-0.613636364	0.720779221	1.491620112	-1.424483307	1.608870968	-1.373540856	2.705882353	1.302919708	1.021367521	-1.076642336	1.2760181	2.136585366	-2.573604061	2.436018957	-1.170149254	-1.561320755	2.043269231	-3.027322404	1.371794872	-1.737201365	1.709803922	3.835714286	-2.436842105	0.222222222	0.328828829	2.638888889	-1.946031746	-1.484042553	0.352697095	-1.428571429	-2.642023346	0.62248996	-0.015503876	0.709570957	1.531413613	1.258278146	1.422535211	1.698996656	0.698564593	1.11627907	-1.555873926	-0.019047619	-1.091703057	0.069705094
P48736	-2.759090909	0.588679245	0.909836066	-2.199616123	-2.008097166	1.297188755	0.132911392	3.583586626	0.126623377	0.815238095	-1.229868228	2.124223602	1.25203252	-1.811023622	-1.732307692	-0.042553191	-2.425742574	0.32346723	-0.462264151	-1.821705426	0.472103004	0.179104478	-1.156462585	-0.737903226	-0.780991736	1.452674897	-0.732673267	1.501845018	-1.979253112	-1.894444444	0.112820513	-0.918518519	-1.564705882	0.976430976	1.45323741	-0.870535714	3.592920354	-0.355172414	2.033653846	1.869955157	1.463519313	1.780373832	1.477088949	-2.876	0.644067797	-2.229166667	0.316037736	1.224390244	-1.017676768	-0.87012987	1.072625698	-1.275039746	1.47983871	0.404669261	1.143382353	1.49270073	0.615384615	0.291970803	1.49321267	0.385365854	-3.005076142	4.255924171	-1.211940299	-1.080188679	2.639423077	-4.114754098	1.291666667	-2.887372014	2.478431373	4.164285714	-3.521052632	0.783950617	0.86036036	3.490740741	-2.495238095	-1.521276596	0.489626556	-2.019047619	-2.521400778	0.369477912	-0.600775194	1.376237624	2.089005236	-0.092715232	0.769014085	1.431438127	1.19138756	-0.526162791	-1.114613181	0.19047619	-0.899563319	-2.166219839
Q96FE7	4.690909091	-1.113207547	-3.770491803	-2.291746641	-4.655870445	-2.361445783	-1.367088608	-0.857142857	-1.055194805	-1.961904762	-1.707174231	0.428571429	-2.37804878	-0.374015748	-2.947692308	-0.14893617	1.202970297	2.890063425	-2.122641509	0.825581395	-2.798283262	0.029850746	-1.693877551	4.310483871	0.524793388	-1.769547325	-0.707920792	7.793357934	2.79253112	2.4	4.517948718	3.477777778	-0.735294118	0.491582492	-2.784172662	-1.714285714	4.561946903	1.84137931	-2.870192308	2.910313901	-3.785407725	-0.640186916	1.202156334	-0.196	0.583804143	-0.0875	-2.995283019	-2.356097561	-1.53030303	0.045454545	-1.226256983	-2.626391097	-0.754032258	-0.40077821	1.224264706	-0.587591241	0.081196581	-0.762773723	-2.081447964	1.653658537	-1.263959391	0.587677725	-1.382089552	-0.363207547	0.947115385	-2.360655738	-2.820512821	2.66894198	0.121568627	1.507142857	2.089473684	2.327160494	-2.716216216	-0.898148148	0.853968254	4.132978723	-0.684647303	0.442857143	-2.642023346	6.670682731	-0.593023256	-2.676567657	-1.311518325	3.503311258	3.38028169	1.652173913	-3.133971292	-0.909883721	-0.286532951	1.280952381	-0.454148472	-0.576407507
P27986	-1.681818182	-1.067924528	0.176229508	-1.934740883	-0.570850202	0.21686747	-1.148734177	0.975683891	-0.512987013	-0.388571429	0.117130307	0.850931677	-0.678861789	0.208661417	-0.741538462	0.29787234	-0.128712871	0.754756871	0.287735849	-0.441860465	1.510729614	-0.686567164	-1.30952381	-0.475806452	0.32231405	1.83127572	1.193069307	0.6900369	1.116182573	1.011111111	0.138461538	0.877777778	-1.720588235	0.609427609	-0.169064748	0.642857143	-0.663716814	0.603448276	-1.072115385	-1.049327354	-1.497854077	0.11682243	-0.132075472	-1.236	1.156308851	0.225	-0.622641509	-0.648780488	0.012626263	0.103896104	0.754189944	-0.80445151	0.806451613	-0.003891051	0.433823529	-0.576642336	0.581196581	-0.675182482	-1.226244344	-0.019512195	0.14213198	-0.004739336	-0.2	-0.83490566	0.682692308	-1.06557377	-0.766025641	-0.747440273	0.415686275	1.621428571	0.121052632	0.925925926	-1.112612613	-0.032407407	1.177777778	-2.138297872	-0.784232365	-1.628571429	-1.73540856	0.445783133	-0.988372093	-0.452145215	0.204188482	1.728476821	0.577464789	0.983277592	-1.830143541	-0.305232558	-0.429799427	2.142857143	0.3930131	-0.386058981
O00459	-0.263636364	0.301886792	0.245901639	0.061420345	-0.097165992	-0.895582329	1.889240506	0.52887538	-0.834415584	-0.84952381	-0.140556369	1.51242236	0.130081301	0.838582677	-0.784615385	-0.536170213	-0.891089109	-0.801268499	0.212264151	0.414728682	1.446351931	0.626865672	0.088435374	0.677419355	0.483471074	-0.695473251	0.257425743	-0.280442804	-0.012448133	-0.261111111	0.046153846	-0.844444444	-0.138235294	-0.215488215	-0.201438849	-0.625	0.765486726	-0.282758621	-0.264423077	2.883408072	0.416309013	-0.434579439	-0.479784367	-0.088	0.549905838	1.820833333	-0.91509434	1.882926829	-0.648989899	0.493506494	0.927374302	1.853736089	1.221774194	-1.284046693	0.161764706	0.959854015	0.179487179	0.350364964	-0.253393665	0.365853659	1.558375635	0.507109005	-0.205970149	0.023584906	0.759615385	-1.371584699	0.429487179	-1.160409556	-0.760784314	0.05	-1.342105263	-0.567901235	-0.986486486	-0.935185185	0.149206349	-2.228723404	-0.589211618	-0.461904762	-0.023346304	-0.180722892	-0.798449612	0.834983498	-1.267015707	0.741721854	0.143661972	0.829431438	-0.205741627	-0.372093023	-0.028653295	3.014285714	-0.56768559	0.563002681
Q99570	0.404545455	-0.298113208	0.06557377	-0.441458733	-0.032388664	-0.413654618	-0.800632911	0.41337386	-0.146103896	-0.525714286	-0.729136164	0.260869565	-0.052845528	-0.742125984	-0.775384615	0.174468085	-0.648514851	-0.344608879	0.183962264	0.337209302	-0.35193133	-0.950248756	-0.401360544	0.092741935	-0.05785124	-0.086419753	-0.138613861	0.335793358	-0.128630705	0.266666667	-0.543589744	0.588888889	-0.582352941	-0.36026936	-0.496402878	-0.285714286	0.477876106	0.206896552	-0.754807692	-0.251121076	-0.381974249	0.242990654	0.164420485	-0.232	-0.474576271	-0.5625	-0.117924528	0.273170732	-0.482323232	-0.045454545	-0.312849162	1.052464229	-0.213709677	0.478599222	0.139705882	-0.645985401	-0.004273504	-0.215328467	-0.07239819	0.156097561	-0.664974619	0.947867299	0.88358209	0.018867925	0.490384615	0.174863388	0.256410256	-0.515358362	0.42745098	0.189285714	-1.021052632	-0.055555556	0.279279279	0.12037037	-0.523809524	-0.356382979	-1.136929461	0.233333333	-0.031128405	0.212851406	-0.434108527	0.696369637	-1.146596859	0.456953642	1.687323944	0.431438127	0.133971292	-0.229651163	-0.209169054	0.647619048	0.694323144	-0.217158177
Q9Y2I7	-0.718181818	-0.267924528	-0.204918033	-0.3378119	-0.052631579	-0.646586345	-0.139240506	-0.364741641	0.399350649	-1.596190476	-0.196193265	-0.273291925	-0.138211382	-0.206692913	0.464615385	0.178723404	0.361386139	-0.205073996	0.226415094	0.403100775	-0.459227468	0.7960199	0.530612245	0.786290323	0.243801653	-0.880658436	0.193069307	0.605166052	1.423236515	0.227777778	-1.215384615	0.225925926	1.720588235	-1.043771044	-0.917266187	-0.241071429	-0.265486726	0.055172414	0.528846154	0.143497758	-0.210300429	-1.028037383	0.501347709	0.528	-1.333333333	0.766666667	-0.283018868	-1.356097561	0.164141414	0.623376623	0.002793296	-0.092209857	-1.072580645	0.750972763	-0.073529412	-0.51459854	-0.692307692	0.427007299	-1.846153846	0.03902439	-0.010152284	-0.431279621	-0.444776119	-0.396226415	-0.139423077	0.715846995	0.391025641	0.846416382	1.905882353	-1.689285714	-0.436842105	0.648148148	1.067567568	-0.37962963	0.326984127	-1.117021277	-0.556016598	0.638095238	-0.649805447	-0.277108434	-0.511627907	-0.653465347	-1.460732984	0.125827815	0.498591549	-0.117056856	-0.837320574	-0.863372093	0.518624642	-0.261904762	0.100436681	0.627345845
Q9UKJ1	NA	-1.728301887	3.327868852	-1.97696737	NA	0.598393574	1.196202532	2.863221884	0.941558442	-0.594285714	-2.928257687	3.245341615	1.508130081	-1.946850394	-1.575384615	-0.119148936	-0.881188119	NA	NA	NA	1.115879828	NA	-3.006802721	-0.064516129	NA	NA	-4.143564356	4.955719557	-3.439834025	0.4	2.261538462	2.440740741	-3.085294118	1.872053872	NA	0.410714286	1.867256637	-0.079310345	0.668269231	1.417040359	NA	1.420560748	NA	NA	NA	NA	1.358490566	-2.063414634	NA	1.694805195	2.262569832	NA	0.721774194	-2.494163424	3.643382353	2.726277372	NA	-0.047445255	NA	-0.331707317	-3.040609137	NA	-0.608955224	-2.570754717	3.432692308	-0.633879781	NA	NA	3.415686275	5.714285714	-1.152631579	-0.228395062	NA	NA	-0.352380952	-0.989361702	NA	-3.757142857	-1.891050584	4.485943775	-0.697674419	NA	NA	NA	1.391549296	2.809364548	-0.71291866	1.654069767	-1.458452722	-0.10952381	-1.213973799	-1.396782842
