	TW688	TW689	TW690	TW691	TW692	TW693	TW694	TW695	TW696	TW697	TW698	TW699	TW700	TW701	TW703	TW704	TW705	TW706	TW707	TW708	TW709	TW710	TW711	TW712	TW713	TW714	TW715	TW716	TW717	TW719	TW720	TW721	TW722	TW723	TW724	TW725	TW726	TW727	TW728	TW729	TW730	TW731	TW732	TW733	TW735	TW736	TW737	TW738	TW739	TW740	TW741	TW742	TW743	TW744	TW745
P34741	0.03793859	-1.155030937	1.144059003	-1.609447797	-2.129609009	-0.214586497	NA	-0.337248092	1.286861542	-0.799383856	-2.640808519	-1.25775047	-3.235497915	-1.804543804	-2.104445571	-0.854108033	-0.148432561	-0.555030154	-2.308286811	-1.226029745	-1.644326794	-0.393785229	0.165801603	0.241640744	-3.308106443	-1.00795205	1.472973256	-3.440647596	0.599511173	0.175912936	-0.021703637	-0.822670728	-1.680956282	-0.204138106	-1.680684597	-1.963639832	NA	-1.112470263	-0.141009417	NA	-2.222425287	-0.931001922	-2.385255256	-1.361194157	-0.761875211	0.97407426	-0.133507102	-0.115148022	-2.702313069	-1.360901404	-3.01718991	-1.073102788	-1.96543899	-1.479252583	-2.59583275
P34896	-1.548274843	-1.611670531	-0.331365569	-1.75893621	-0.517120528	-6.642278418	-2.409633332	-0.540674763	-0.785181887	-0.202901672	-2.689945203	0.167823635	-0.195365625	-4.593642543	-1.315057512	-2.306642728	-0.843113985	-0.237602661	-0.777985273	-1.450943174	-0.268016222	1.193511139	-0.79132558	-0.444645605	-0.227142072	-1.695018364	-0.936310516	-1.067486246	-0.464004357	-1.15886565	1.471601595	-0.012116512	-1.378626571	-0.344427332	0.176907128	-0.442657148	-0.7233935	-2.621018658	0.977265935	-0.486416916	-1.369648858	-2.465111406	-0.990943155	-0.979075952	-3.094453684	-1.891321848	0.568572202	-1.368518587	-0.435712271	-2.764514602	-0.920920717	1.324291299	-1.389833029	-2.292121828	-0.566794474
P34897	-1.486380905	0.43066126	-2.247002833	-1.809571755	1.039563943	1.309335148	2.300746515	0.764087211	-0.033578566	1.899156298	NA	2.997684327	0.10777327	-0.850770886	2.726161491	-1.760815557	1.417614348	0.16593733	1.374460868	0.31087735	0.328298742	2.2024747	1.25733332	-0.900105067	0.744780488	NA	1.398668821	3.237443325	0.474817052	-0.344652697	1.96183352	3.065376824	-0.388381464	0.876518877	-0.607229764	-0.643400088	1.832070534	-1.462074618	-1.386218667	2.464877582	0.497728303	-1.162287326	NA	1.05087644	-0.821137049	-0.208851354	1.392881843	-1.205080074	-0.592075559	-2.084809231	2.890474377	-0.939759873	-1.125757973	-0.300144186	1.0609247
P34910	-0.448841757	1.915912651	0.620615753	3.502465397	-3.003670484	-0.657125061	-2.14733688	-0.849319884	3.707626567	1.079790997	-2.095824532	-2.121377342	1.564567368	2.360238542	-1.044050178	-2.233579092	-0.906802263	-0.834090931	-0.787604694	-3.635002354	-3.37170978	-0.809642495	-0.81975768	-3.567942072	-3.57283941	-2.886503375	0.712198022	NA	1.729402869	-2.330514591	1.731354819	0.623856662	-1.369654931	-1.599355235	-1.591167277	-1.371201282	-3.92192472	NA	-0.679092432	-1.804265441	-1.673620998	1.520432266	-2.04888627	2.019846006	-2.648404937	1.12494074	1.092794357	0.613721935	-2.016428338	-5.483542304	-0.950467616	-0.321917865	-2.055285253	NA	-2.579463389
P34913	-1.281307092	NA	-1.560848159	-2.335537756	-2.899351153	NA	NA	NA	NA	-2.254604093	-2.442316228	-3.099215116	-2.030752446	-3.07055408	-1.934486937	-3.058071291	-0.893319168	-0.952771361	-0.802103423	-2.269477486	0.676228694	-1.182674469	-3.770519311	-2.113164685	-1.689850335	-3.125407777	-0.140998735	-2.111920203	-3.567331501	-1.531230885	-1.853330087	-2.235864316	-4.692095522	0.510626207	-2.530085673	-0.878959394	-2.693204975	-1.034744172	0.003093983	-1.649361979	-2.213128669	NA	-3.257082908	-2.804729654	-2.399324843	-4.372552416	-1.330747451	NA	-3.755254415	-1.44918619	-1.988663209	0.664043589	-1.027419177	-2.094324305	-2.580541383
P34932	2.955791237	2.386353551	1.871541378	1.623823791	2.403438669	1.927202667	2.666835469	2.222260176	1.46300767	1.891693592	2.796252706	2.307453347	2.162450349	2.322807431	1.90718101	2.819433236	2.201569351	2.555216337	1.733881081	2.579317495	2.706395036	2.232629571	2.324503208	3.13209258	2.968702508	2.910617512	2.180618092	2.70688016	1.321601647	2.875807954	1.990071595	2.403282977	2.271179014	2.50005717	1.898675992	2.864346911	2.29028367	2.881593141	2.86212028	1.071717571	2.644444074	1.827957495	2.78706455	1.994876464	2.542100818	1.701428362	2.38504502	1.922363897	2.9510454	2.905782009	2.381492173	2.451310484	2.237960313	3.465197138	3.005237656
P34949	1.725731899	-0.805273503	0.54927118	0.612633498	1.033438003	0.555060618	-0.257832063	1.706357782	-0.318003821	1.189483629	1.178003015	1.170908147	0.426781683	0.479787356	1.501268759	1.586536631	0.59299551	1.723431647	1.03695594	1.599679519	1.704846441	1.068518062	1.130879062	1.479793527	1.097877168	1.368413571	0.071287743	0.52533512	1.009427957	1.016838011	1.495569303	0.815180538	1.004621187	0.842893787	0.502930948	1.545082911	1.089827486	1.144993207	1.871518422	-1.327488432	1.114288851	-0.020022189	1.969299605	0.826058463	1.006871446	-1.654154232	1.204735492	-0.030710462	1.306593791	1.081899474	1.27170231	2.075391	1.252330273	1.686889684	1.234825803
P35052	0.810508286	3.031456346	1.128552639	1.089712024	3.019158714	2.90666157	1.337519124	-1.057674536	2.250802249	1.560683285	1.605646427	2.486643275	1.512946741	1.931508914	1.05938804	1.736920048	3.373758167	0.525972872	1.867142036	1.086943978	1.173113709	2.590213509	3.300069568	0.915747052	1.50436098	1.796621572	2.718412347	2.333134996	1.686961342	1.886001724	1.86961605	1.763946343	0.387962511	-0.013968542	2.217983229	2.127471595	1.612675157	1.109834944	0.305422216	2.259755708	1.351409116	2.137207781	1.944625451	3.660510641	0.829967567	3.011558233	1.365633403	1.806060177	1.156915695	1.174572383	0.116083031	1.872503649	1.075335659	0.741572276	2.860401173
P35080	4.978928905	4.273810119	3.662349698	2.808522947	5.086919572	5.004243437	3.114005075	4.023269519	2.144614096	2.974868436	5.148818855	4.886943465	3.773067675	3.102284263	4.556725257	5.164336643	3.442023529	4.262588467	3.811610837	4.327065945	4.709041511	4.340464799	4.057296645	5.159016641	5.798012148	5.387295978	3.676500204	6.093349491	4.301971868	4.997653799	4.147318293	2.26969641	4.143790921	3.628545857	3.705792017	4.851665063	4.453183222	4.632529217	4.232983879	3.576653312	4.606610344	3.395716492	5.096075052	3.786734749	5.040254156	3.297230653	4.440155483	2.796951605	5.313255819	5.047725443	3.9262535	4.492127382	5.055214431	5.416693341	5.594284358
P35219	-3.098987042	-3.45641364	-1.975444834	NA	-2.697634034	NA	-4.315380392	NA	NA	NA	-3.046050436	-2.174437397	-2.860439748	-2.159039932	-1.216353465	-2.79066123	-1.24601532	-2.863245064	-4.605117695	-2.138313424	-0.552590631	-3.478377301	-4.118534155	-2.204414093	-0.494991035	-4.444962419	-2.107652216	-2.1114697	NA	-1.958583623	NA	-4.40196225	-3.03369402	-2.878403562	-1.702991399	-1.468032146	-2.637590012	-2.78734349	-0.276831981	NA	-3.96064074	-3.850924397	-3.835074769	NA	-2.573432405	NA	-4.814280326	NA	-2.450815075	-2.993747078	-2.42422006	-5.862511604	-3.606046899	-4.201402678	-2.819614568
